bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank,failure_rate,expected_delay,mean_delay_when_failed,mean_vehicles_delayed,norm_criticality,norm_vulnerability,priority_equal,priority_crit_heavy,priority_vuln_heavy,priority_rank,quadrant
2000388,N2,JAGADISHPUR 2 BOX CULVERT,A,4,24.15425,91.3487774,29375.3,0.0,0.9678336562158172,0.0,0.6774835593510721,52,0.3,52378.8,174596.0,3620.1,0.6774835593510721,0.12437762272301575,0.4009305910370439,0.5115517783626552,0.29030940371143266,58,A
2000391,N2,BELGOR CULVERT,A,2,24.1592222,91.3489163,29374.6,0.0,0.9678105931812492,0.0,0.6774674152268743,53,0.2,50424.6,252123.0,3475.6,0.6774674152268743,0.11973721953841975,0.398602317382647,0.5101483565203379,0.28705627824495605,59,A
2000722,N2,RATUM PUR (3) (2 bridges at crossing),A,14,24.570822275949368,91.60283593924048,20633.4,0.0,0.6798125963705374,0.0,0.4758688174593761,148,0.4,134947.2,337368.0,3647.9,0.4758688174593761,0.32044284957134095,0.39815583351535855,0.4292410270929655,0.36707063993775146,60,A
2000100,N2,BAGDI BOX CULVERT,A,13,23.921666,90.6968886,20758.8,0.0,0.6839441742774681,0.0,0.4787609219942276,118,0.3,133277.3,444257.6666666667,3609.5,0.4787609219942276,0.316477539327785,0.3976192306610063,0.4300759071942948,0.36516255412771775,61,A
2000408,N2,PATONPUR,A,6,24.191083,91.3505278,29377.9,0.0,0.967919318915642,0.0,0.6775435232409495,50,0.2,47923.1,239615.5,3304.8,0.6775435232409495,0.11379720901428357,0.3956703661276165,0.5084196289729497,0.2829211032822833,62,A
2000429,N2,SHIBPUR BOX CULVERT,A,8,24.223166,91.3647222,29382.7,0.0,0.9680774654383956,0.0,0.6776542258068767,45,0.3,40818.5,136061.66666666666,2816.0,0.6776542258068767,0.09692677176871976,0.38729049878779825,0.5034359895954296,0.27114500798016683,63,A
2000448,N2,CHARA BOX CULVERT,A,4,24.2585833,91.3780827,29383.0,0.0,0.9680873495960676,0.0,0.6776611447172471,44,0.1,39410.1,394101.0,2720.0,0.6776611447172471,0.09358241405447094,0.38562177938585906,0.5024375255184143,0.26880603325330377,64,A
2000439,N2,RIAZ NAGAR BOX CULVERT,A,2,24.239871780645164,91.36895125558311,29380.7,0.0,0.9680115710539148,0.0,0.6776080997377404,47,0.3,38015.6,126718.66666666667,2621.3,0.6776080997377404,0.09027106299474362,0.383939581366242,0.5014069887148414,0.26647217401764267,65,A
2000731,N2,Batapur Bridge (2 bridges at crossing),A,35,24.5849719,91.59972185,20636.2,0.0,0.6799048485088102,0.0,0.4759333939561671,146,0.2,120313.5,601567.5,3241.6,0.4759333939561671,0.2856939660986039,0.38081368002738547,0.4188615655988981,0.34276579445587285,66,A
2000424,N2,HORI TOLA BOX CULVERT,A,7,24.2185827,91.36275,29379.6,0.0,0.9679753291424504,0.0,0.6775827303997153,49,0.1,29145.5,291455.0,2007.2,0.6775827303997153,0.06920830570905892,0.3733955180543871,0.4950704029925183,0.2517206331162558,67,A
