road,id,model_type,name,lat,lon,length,condition,lrp
N1,1000278,link,link 238,23.0398052,91.3656111,420,,LRP144b
N1,1000279,link,link 239,23.0427774,91.3654444,331,,LRP144a
N1,1000280,link,link 240,23.0449719,91.3653611,244,,LRP144
N1,1000281,link,link 241,23.0479441,91.3651389,331,,LRP143a
N1,1000282,link,link 242,23.0538611,91.3637222,674,,LRP143
N1,1000283,link,link 243,23.0614722,91.3616667,872,,LRP142a
N1,1000284,link,link 244,23.0635278,91.3616389,229,,LRP142
N1,1000285,link,link 245,23.0636944,91.3616389,19,,LRP141b
N1,1000286,link,link 246,23.0688604,91.3607222,582,,LRP141a
N1,1000287,link,link 247,23.0712493,91.3599722,276,,LRP141
N1,1000288,link,link 248,23.0732493,91.3594167,230,,LRP140a
N1,1000289,link,link 249,23.0792493,91.3558333,761,,LRP140
N1,1000290,link,link 250,23.0806938,91.3549444,185,,LRP139c
N1,1000291,link,link 251,23.0808049,91.3548611,15,,LRP139b
N1,1000292,bridge,UTTOR KAIEATI CULVERT,23.0808049,91.3548611,4,A,LRP139b
N1,1000293,link,link 252,23.0849719,91.3524722,524,,LRP139a
N1,1000294,link,link 253,23.0876108,91.3508889,335,,LRP139
N1,1000295,link,link 254,23.0901108,91.3494163,316,,LRP138a
N1,1000296,link,link 255,23.095583,91.3464441,680,,LRP138
N1,1000297,link,link 256,23.0961941,91.3461108,76,,LRP137b
N1,1000298,link,link 257,23.1005833,91.3437774,543,,LRP137a
N1,1000299,link,link 258,23.1035,91.3422497,360,,LRP137
N1,1000300,link,link 259,23.1051111,91.3413608,201,,LRP136b
N1,1000301,link,link 260,23.1108056,91.3381386,714,,LRP136a
N1,1000302,link,link 261,23.1113611,91.3378052,71,,LRP136
N1,1000303,link,link 262,23.1191382,91.3330827,990,,LRP135
N1,1000304,link,link 263,23.1193049,91.3329993,20,,LRP134a
N1,1000305,bridge,FOKIR BAZAR SLAB CULVERT,23.1193049,91.3329993,4,B,LRP134a
N1,1000306,link,link 264,23.1213327,91.3320549,245,,LRP134
N1,1000307,link,link 265,23.1234993,91.3311382,259,,LRP133b
N1,1000308,link,link 266,23.1290827,91.3287216,668,,LRP133a
N1,1000309,link,link 267,23.1295827,91.3284993,60,,LRP133
N1,1000310,link,link 268,23.1374163,91.3264716,895,,LRP132a
N1,1000311,link,link 269,23.1382219,91.3263049,91,,LRP132
N1,1000312,link,link 270,23.1433886,91.326666,576,,LRP131a
N1,1000313,bridge,DIMATOLY (2) BOX CULVERT,23.1433886,91.326666,4,B,LRP131a
N1,1000314,link,link 271,23.1471663,91.3266938,420,,LRP131
N1,1000315,link,link 272,23.1480274,91.3264993,98,,LRP130b
N1,1000316,link,link 273,23.1496941,91.3254993,212,,LRP130a
N1,1000317,link,link 274,23.1554167,91.3232771,676,,LRP130
N1,1000318,link,link 275,23.1571667,91.3224993,210,,LRP129a
N1,1000319,link,link 276,23.1641389,91.3214993,782,,LRP129
N1,1000320,link,link 277,23.1680549,91.3213604,436,,LRP128b
N1,1000321,link,link 278,23.1681382,91.3213604,9,,LRP128a
N1,1000322,bridge,Bridge start,23.1681382,91.3213604,0,B,LRP128a
N1,1000323,link,link 279,23.172916,91.3205271,538,,LRP128
N1,1000324,link,link 280,23.1773604,91.3198049,500,,LRP127a
N1,1000325,link,link 281,23.1826382,91.3210827,601,,LRP127
N1,1000326,link,link 282,23.1866108,91.3212771,442,,LRP126b
N1,1000327,link,link 283,23.1866941,91.3212493,10,,LRP126a
N1,1000328,bridge,BOSONTA PUR BOX CULVERT,23.1866941,91.3212493,6,C,LRP126a
N1,1000329,link,link 284,23.1909997,91.3192493,521,,LRP126
N1,1000330,link,link 285,23.1921108,91.3185549,142,,LRP125a
N1,1000331,link,link 286,23.1990274,91.3170549,784,,LRP125
N1,1000332,link,link 287,23.201,91.3168049,221,,LRP124a
N1,1000333,link,link 288,23.2078889,91.3159722,771,,LRP124
N1,1000334,link,link 289,23.2103056,91.3157222,270,,LRP123a
N1,1000335,link,link 290,23.2165556,91.3149167,700,,LRP123
N1,1000336,link,link 291,23.2184993,91.3143889,223,,LRP122b
N1,1000337,link,link 292,23.221416,91.3137222,331,,LRP122a
N1,1000338,link,link 293,23.2253882,91.3135833,442,,LRP122
N1,1000339,link,link 294,23.2275549,91.3135278,241,,LRP121b
N1,1000340,link,link 295,23.2314993,91.3132222,440,,LRP121a
N1,1000341,link,link 296,23.2343052,91.3131667,312,,LRP121
N1,1000342,link,link 297,23.2344997,91.3131667,22,,LRP120b
N1,1000343,link,link 298,23.2416941,91.3123611,804,,LRP120a
N1,1000344,link,link 299,23.243083,91.3119167,161,,LRP120
N1,1000345,link,link 300,23.2452774,91.3110556,259,,LRP119d
N1,1000346,link,link 301,23.2481663,91.3098889,343,,LRP119c
N1,1000347,link,link 302,23.248333,91.3098056,20,,LRP119b
N1,1000348,bridge,Bridge start,23.248333,91.3098056,0,B,LRP119b
N1,1000349,link,link 303,23.249833,91.3091944,178,,LRP119a
N1,1000350,link,link 304,23.2511944,91.3086389,162,,LRP119
N1,1000351,link,link 305,23.2587222,91.3074444,846,,LRP118a
N1,1000352,link,link 306,23.2601111,91.3072778,155,,LRP118
N1,1000353,link,link 307,23.2636667,91.30675,399,,LRP117c
N1,1000354,link,link 308,23.2654444,91.3064444,200,,LRP117b
N1,1000355,link,link 309,23.2677493,91.3054722,275,,LRP117a
N1,1000356,link,link 310,23.2686382,91.3049722,111,,LRP117
N1,1000357,link,link 311,23.2768882,91.3011944,995,,LRP116
N1,1000358,link,link 312,23.2787216,91.3002778,224,,LRP115a
N1,1000359,link,link 313,23.283583,91.2952219,748,,LRP115
N1,1000360,link,link 314,23.2876663,91.2936386,482,,LRP114a
N1,1000361,link,link 315,23.2919163,91.2922219,494,,LRP114
N1,1000362,link,link 316,23.2959719,91.2915274,457,,LRP113b
N1,1000363,link,link 317,23.296083,91.2914997,13,,LRP113a
N1,1000364,bridge,Bridge start,23.296083,91.2914997,0,B,LRP113a
N1,1000365,link,link 318,23.3006111,91.290333,517,,LRP113
N1,1000366,link,link 319,23.30425,91.288583,442,,LRP112a
N1,1000367,link,link 320,23.3086944,91.2864163,541,,LRP112
N1,1000368,link,link 321,23.3096389,91.2861386,109,,LRP111c
N1,1000369,link,link 322,23.31475,91.2845552,591,,LRP111b
N1,1000370,link,link 323,23.3149444,91.2844719,23,,LRP111a
N1,1000371,bridge,Bridge start,23.3149444,91.2844719,0,B,LRP111a
N1,1000372,link,link 324,23.3171382,91.2836941,257,,LRP111
N1,1000373,link,link 325,23.3240827,91.279166,900,,LRP110b
N1,1000374,link,link 326,23.324166,91.2791104,11,,LRP110a
N1,1000375,bridge,Bridge start,23.324166,91.2791104,0,B,LRP110a
N1,1000376,link,link 327,23.3246382,91.278666,69,,LRP110
N1,1000377,link,link 328,23.3321938,91.2734716,994,,LRP109
N1,1000378,link,link 329,23.3347219,91.271166,367,,LRP108c
N1,1000379,link,link 330,23.3357219,91.2703049,142,,LRP108b
N1,1000380,link,link 331,23.3360274,91.2700549,42,,LRP108a
N1,1000381,bridge,Bridge start,23.3360274,91.2700549,0,B,LRP108a
N1,1000382,link,link 332,23.3390552,91.2672216,444,,LRP108
N1,1000383,link,link 333,23.3463608,91.2616944,989,,LRP107
N1,1000384,link,link 334,23.3486386,91.2599444,310,,LRP106a
N1,1000385,link,link 335,23.3536944,91.2561389,683,,LRP106
N1,1000386,link,link 336,23.3584444,91.2533333,601,,LRP105b
N1,1000387,link,link 337,23.3586389,91.25325,23,,LRP105a
N1,1000388,bridge,Bridge start,23.3586389,91.25325,0,B,LRP105a
N1,1000389,link,link 338,23.3615278,91.2515556,365,,LRP105
N1,1000390,link,link 339,23.3683327,91.2471108,882,,LRP104a
N1,1000391,link,link 340,23.3695827,91.2462774,163,,LRP104
N1,1000392,link,link 341,23.377166,91.2409163,1005,,LRP103
N1,1000393,link,link 342,23.3777493,91.2405274,76,,LRP102b
N1,1000394,link,link 343,23.3779716,91.2403608,30,,LRP102a
N1,1000395,bridge,Bridge start,23.3779716,91.2403608,0,B,LRP102a
N1,1000396,link,link 344,23.3843886,91.2351108,892,,LRP102
N1,1000397,link,link 345,23.3849719,91.2346108,83,,LRP101c
N1,1000398,link,link 346,23.385083,91.2345552,14,,LRP101b
N1,1000399,link,link 347,23.3914441,91.2293049,887,,LRP101a
N1,1000400,link,link 348,23.3915274,91.2292493,11,,LRP101
N1,1000401,link,link 349,23.398213447804338,91.22288776581436,987,,LRP100
N1,1000402,link,link 350,23.4035556,91.2178049,789,,LRP099b
N1,1000403,link,link 351,23.40375,91.2176382,28,,LRP099a
N1,1000404,bridge,Bridge start,23.40375,91.2176382,0,B,LRP099a
N1,1000405,link,link 352,23.4048056,91.2165278,163,,LRP099
N1,1000406,link,link 353,23.4100278,91.2090833,956,,LRP098a
N1,1000407,link,link 354,23.4100833,91.2087778,32,,LRP098
N1,1000408,link,link 355,23.4113056,91.1988886,1018,,LRP097
N1,1000409,link,link 356,23.4125,91.1893886,978,,LRP096
N1,1000410,link,link 357,23.4130556,91.1849163,461,,LRP095b
N1,1000411,link,link 358,23.4131111,91.1846663,26,,LRP095a
N1,1000412,bridge,Bridge start,23.4131111,91.1846663,0,B,LRP095a
N1,1000413,link,link 359,23.4149444,91.1801382,505,,LRP095
