road,id,model_type,name,lat,lon,length,condition,lrp,small_truck,medium_truck,heavy_truck,aadt
N1,1000124,bridge,Bridge start,23.531554900000003,90.7174854,0,B,LRP038d,1116.0,5314.0,355.0,14822.0
N1,1000125,link,link 103,23.5315827,90.7176104,0,,LRP038e,1116.0,5314.0,355.0,14822.0
N1,1000126,link,link 104,23.5317216,90.7180271,45,,LRP039,1116.0,5314.0,355.0,14822.0
N1,1000127,link,link 105,23.5322346,90.7226298386,473,,LRP039a,1116.0,5314.0,355.0,14822.0
N1,1000128,link,link 106,23.5327216,90.7269993,449,,LRP040,1116.0,5314.0,355.0,14822.0
N1,1000129,link,link 107,23.528916,90.7356108,975,,LRP041,1116.0,5314.0,355.0,14822.0
N1,1000130,link,link 108,23.5289993,90.7419441,646,,LRP042,1116.0,5314.0,355.0,14822.0
N1,1000131,link,link 109,23.5293882,90.7514167,967,,LRP042a,1116.0,5314.0,355.0,14822.0
N1,1000132,bridge,Bridge start,23.5293882,90.7515,0,B,LRP042a,1116.0,5314.0,355.0,14822.0
N1,1000133,link,link 110,23.5293882,90.7515833,0,,LRP042b,1116.0,5314.0,355.0,14822.0
N1,1000134,link,link 111,23.529416,90.75175,17,,LRP043,928.0,4941.0,348.0,11681.0
N1,1000135,link,link 112,23.5299993,90.7615,996,,LRP044,928.0,4941.0,348.0,11681.0
N1,1000136,link,link 113,23.5304438,90.7713049,1001,,LRP045,928.0,4941.0,348.0,11681.0
N1,1000137,link,link 114,23.5304993,90.7731104,184,,LRP045a,928.0,4941.0,348.0,11681.0
N1,1000138,link,link 115,23.5308049,90.7811104,816,,LRP046,928.0,4941.0,348.0,11681.0
N1,1000139,link,link 116,23.5307493,90.7816104,51,,LRP046a,928.0,4941.0,348.0,11681.0
N1,1000140,link,link 117,23.530666,90.7821938,60,,LRP046b,928.0,4941.0,348.0,11681.0
N1,1000141,link,link 118,23.5312216,90.7895552,753,,LRP046c,928.0,4941.0,348.0,11681.0
N1,1000142,link,link 119,23.531166,90.7907219,119,,LRP047,928.0,4941.0,348.0,11681.0
N1,1000143,link,link 120,23.5306938,90.7924441,183,,LRP047a,928.0,4941.0,348.0,11681.0
N1,1000144,link,link 121,23.5308604,90.8002222,793,,LRP048,928.0,4941.0,348.0,11681.0
N1,1000145,link,link 122,23.5308882,90.8041389,399,,LRP048a,928.0,4941.0,348.0,11681.0
N1,1000146,bridge,Bridge start,23.5309021,90.80425,0,B,LRP048a,928.0,4941.0,348.0,11681.0
N1,1000147,link,link 123,23.530916,90.8043611,0,,LRP048b,928.0,4941.0,348.0,11681.0
N1,1000148,link,link 124,23.5316382,90.8099167,572,,LRP049,928.0,4941.0,348.0,11681.0
N1,1000149,link,link 125,23.5332493,90.8194716,990,,LRP050,928.0,4941.0,348.0,11681.0
N1,1000150,link,link 126,23.5346663,90.8249716,582,,LRP050a,928.0,4941.0,348.0,11681.0
N1,1000151,bridge,Bridge start,23.534694100000003,90.825041,0,B,LRP050a,928.0,4941.0,348.0,11681.0
N1,1000152,link,link 127,23.5347219,90.8251104,0,,LRP050b,928.0,4941.0,348.0,11681.0
N1,1000153,link,link 128,23.5344997,90.8287216,369,,LRP051,928.0,4941.0,348.0,11681.0
