LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRP162c,161.63,Culvert,Box culvert,24.4207216,91.5672493,N2
LRP162d,161.787,Culvert,Box culvert,24.4220827,91.5675549,N2
LRP162e,162.043,Culvert,Box culvert,24.4243327,91.5680271,N2
LRP163,162.091,Km Post,Sylhet 69 km,24.4248049,91.5681104,N2
LRP163a,162.23,Bridge,Bridge start,24.4260827,91.5682493,N2
LRP163b,162.268,Bridge,Bridge end,24.426416,91.5682493,N2
LRP163c,162.407,Culvert,Box culvert,24.4274716,91.5681938,N2
LRP163d,162.553,Culvert,Box culvert,24.4288882,91.5679438,N2
LRP163e,162.771,Culvert,Box culvert,24.4308327,91.568166,N2
LRP164,163.096,Km Post,Sylhet 68 km,24.4336663,91.5688049,N2
LRP164a,163.118,Culvert,Box culvert,24.4338608,91.5688327,N2
LRP164b,163.666,Culvert,Box culvert,24.4387774,91.5692216,N2
LRP164c,163.707,Bridge,Bridge start,24.4391663,91.568166,N2
LRP164d,163.722,Bridge,Bridge end,24.4392774,91.5692771,N2
LRP164e,164.056,Culvert,Box culvert,24.4421663,91.5698604,N2
LRP165,164.106,Km Post,Sylhet 67 km,24.4427219,91.5199716,N2
LRP165a,164.369,Bridge,Bridge start,24.4449997,91.5705549,N2
LRP165b,164.393,Bridge,Bridge end,24.4452219,91.5706104,N2
LRP165c,164.515,Culvert,Box culvert,24.4462497,91.570916,N2
LRP165d,164.681,Culvert,Box culvert,24.4476941,91.5713049,N2
LRP166,165.116,Km Post,Sylhet 66 km,24.4515833,91.5718604,N2
LRP166a,165.254,Culvert,Box culvert,24.4527222,91.5719993,N2
LRP166b,165.302,Culvert,Box culvert,24.4531389,91.9053889,N2
LRP166c,165.542,Culvert,Box culvert,24.4552778,91.5722771,N2
LRP166d,165.712,Culvert,Box culvert,24.4568333,91.5723882,N2
LRP166e,165.982,Culvert,Box culvert,24.4591944,91.5725271,N2
LRP167,166.121,Km Post,Sylhet 65 km,24.4604444,91.5726938,N2
LRP167a,166.149,Culvert,Box culvert,24.4605833,91.5744716,N2
LRP167b,166.5,Culvert,Box culvert,24.4636389,91.5733049,N2
LRP167c,166.6,Culvert,Box culvert,24.4645,91.573416,N2
LRP167d,167.121,Bridge,Bridge start,24.469166,91.5736938,N2
LRP167e,167.177,Bridge,Bridge end,24.4696938,91.5737493,N2
LRP168,167.316,Km Post,Sylhet 64 km,24.4708882,91.5738049,N2
LRP168a,167.581,Bridge,Bridge start,24.4732216,91.5743049,N2
LRP168b,167.604,Bridge,Bridge end,24.4733882,91.5743604,N2
LRP168c,167.822,Culvert,Box culvert,24.4752493,91.574916,N2
LRP169,168.178,Km Post,Sylhet 63 km,24.4783049,91.5758327,N2
LRP169a,168.358,Culvert,Box culvert,24.4798327,91.5762771,N2
LRP169b,168.633,Culvert,Box culvert,24.4821938,91.5769993,N2
LRP169c,168.869,Culvert,Box culvert,24.4842774,91.577666,N2
LRP169d,168.994,Culvert,Box culvert,24.4852774,91.5779716,N2
LRP169e,169.118,Culvert,Box culvert,24.4862774,91.5782771,N2
LRP170,169.198,Km Post,Sylhet 62 km,24.4870552,91.5784438,N2
LRP170a,169.22,Culvert,Box culvert,24.4872219,91.5784993,N2
LRP170b,169.267,Culvert,Box culvert,24.487583,91.5786104,N2
LRP170c,169.711,Bridge,Bridge start,24.4913886,91.5799716,N2
LRP170d,169.739,Bridge,Bridge end,24.4916386,91.5800549,N2
LRP170e,169.902,Culvert,Box culvert,24.4930274,91.580416,N2
LRP170f,169.957,Culvert,Box culvert,24.4934719,91.5804716,N2
LRP170g,170.019,Culvert,Box culvert,24.4939997,91.5805827,N2
LRP170h,170.096,Culvert,Box culvert,24.4946941,91.5807216,N2
LRP170i,170.144,Culvert,Box culvert,24.4951108,91.5808327,N2
LRP171,170.208,Km Post,Sylhet 61 km,24.4958052,91.5809438,N2
LRP171a,170.261,Culvert,Box culvert,24.4961663,91.5811104,N2
LRP171b,170.36,Culvert,Box culvert,24.4969441,91.5815827,N2
LRP171c,170.497,Culvert,Box culvert,24.4979997,91.5825827,N2
LRP171d,170.559,Culvert,Box culvert,24.4983052,91.5827771,N2
LRP171e,170.61,Culvert,Box culvert,24.4987219,91.5830271,N2
LRP171f,170.728,Culvert,Box culvert,24.4996941,91.5833608,N2
LRP171g,171.012,Culvert,Box culvert,24.5021944,91.5840274,N2
LRP172,171.173,Km Post,Sylhet 60 km,24.5035833,91.5843608,N2
LRP172a,171.402,Culvert,Box culvert,24.5055556,91.5848886,N2
LRP172b,171.484,Culvert,Box culvert,24.50625,91.5849719,N2
LRP172c,171.619,Culvert,Box culvert,24.5074444,91.5852219,N2
LRP172d,171.755,Culvert,Box culvert,24.5086944,91.5851663,N2
LRP172e,172.108,Culvert,Box culvert,24.5117778,91.5853052,N2
LRP173,172.243,Km Post,Sylhet 59 km,24.513,91.5853608,N2
LRP173a,172.608,Culvert,Box culvert,24.5159167,91.5867497,N2
LRP173b,173.078,Culvert,Box culvert,24.5195271,91.5891941,N2
LRP174,173.243,Km Post,Km post missing,24.5211382,91.5895274,N2
LRP174a,173.284,Bridge,Bridge start,24.5213049,91.5895552,N2
LRP174b,173.299,Bridge,Bridge end,23.5214438,91.589583,N2
LRP174c,173.521,Culvert,Box culvert,24.5234438,91.5903052,N2
LRP174d,173.725,Culvert,Box culvert,24.5248604,91.5916108,N2
LRP174e,174.036,Culvert,Box culvert,24.526916,91.5935274,N2
LRP175,174.243,Km Post,Km post missing,24.5284438,91.5949163,N2
LRP175a,174.353,Culvert,Box culvert,24.5289993,91.5954163,N2
LRP175b,174.921,Culvert,Box culvert,24.5333886,91.5982219,N2
LRP175c,175.101,Culvert,Box culvert,24.5347497,91.5991663,N2
LRP175d,175.233,Culvert,Box culvert,24.5356663,91.6000833,N2
LRP176,175.268,Km Post,Sylhet 56 km,24.5359719,91.6003889,N2
LRP176a,175.322,Culvert,Box culvert,24.5363052,91.6007222,N2
LRP176b,175.466,Culvert,Box culvert,24.5372497,91.6016389,N2
LRP176c,175.685,Culvert,Box culvert,24.5386941,91.6030556,N2
LRP176d,175.851,Culvert,Box culvert,24.5398608,91.6040556,N2
LRP176e,176.071,Culvert,Box culvert,24.5417219,91.6045278,N2
LRP176f,176.21,Culvert,Box culvert,24.5429163,91.6047222,N2
LRP177,176.268,Km Post,Km post missing,24.5435552,91.6048611,N2
LRP177a,176.36,Culvert,Box culvert,24.5443052,91.6049722,N2
LRP177b,176.744,Bridge,Bridge start,24.5477774,91.6054722,N2
LRP177c,176.798,Bridge,Bridge end,24.5482219,91.6055278,N2
LRP178,177.075,Km Post,Sylhet 54 km,24.5506667,91.6056111,N2
LRP178a,177.145,Bridge,Bridge start,24.5513056,91.6055278,N2
LRP178b,177.292,Bridge,Bridge end,24.5525833,91.6053333,N2
LRP178c,177.422,Bridge,Bridge start,24.55375,91.6051389,N2
LRP178d,177.458,Bridge,Bridge end,24.5540278,91.6051111,N2
LRP178e,177.707,Culvert,Box culvert,24.5565,91.6041667,N2
LRP178f,178.016,Culvert,Box culvert,24.5587778,91.6035,N2
LRP179,178.075,Km Post,Km post missing,24.5593056,91.6034444,N2
LRP179a,178.482,Culvert,Box culvert,24.5628333,91.60275,N2
LRP179b,178.858,Bridge,Bridge start,24.5661667,91.6028333,N2
LRP179c,178.879,Bridge,Bridge end,24.5663611,91.6028333,N2
LRP180,179.095,Km Post,Sylhet 52 km,24.5701938,91.6028611,N2
LRP180a,179.159,Bridge,Bridge start,22.5707493,91.6028333,N2
LRP180b,179.174,Bridge,Bridge end,24.5708882,91.6028333,N2
LRP180c,179.751,Culvert,Box culvert,24.5755549,91.6009167,N2
LRP181,180.08,Km Post,Sylhet 51 km,24.5779716,91.5990552,N2
LRP181a,180.394,Bridge,Bridge start,24.5805827,91.597833,N2
LRP181b,180.447,Bridge,Bridge end,24.5809993,91.5983608,N2
LRP181c,180.655,Culvert,Box culvert,24.5827771,91.5989719,N2
LRP181d,180.898,Bridge,Bridge start,24.5848052,91.5996663,N2
LRP181e,180.941,Bridge,Bridge end,24.5851386,91.5997774,N2
LRP182,181.13,Km Post,Sylhet 50 km,24.5868052,91.6003333,N2
LRP182a,181.215,Culvert,Box culvert,24.5875274,91.6005833,N2
LRP182b,181.468,Culvert,Box culvert,24.5896663,91.6013056,N2
LRP182c,181.657,"Side Road, Left",Road to Nabiganj (R240),24.5910552,91.6014167,N2
LRP182d,181.884,Culvert,Box culvert,24.5927774,91.6023056,N2
LRP183,182.18,Km Post,Sylhet 49 km,24.5949719,91.6040556,N2
LRP183a,182.261,Culvert,Box culvert,24.5952774,91.6047222,N2
LRP183b,182.666,Culvert,Box culvert,24.5958608,91.6086111,N2
LRP183c,182.954,Culvert,Box culvert,24.5962774,91.6113889,N2
LRP184,183.18,Km Post,Sylhet 48 km,24.597583,91.6131944,N2
LRP184a,183.652,Bridge,Bridge start,24.6011944,91.6156111,N2
LRP184b,183.713,Bridge,Bridge end,24.6016111,91.6153611,N2
LRP184c,184.052,Culvert,Box culvert,24.6041111,91.6177771,N2
LRP184d,184.165,Culvert,Box culvert,24.6049444,91.6185271,N2
LRP185,184.185,Km Post,Sylhet 47 km,24.6050556,91.618666,N2
LRP185a,184.563,Culvert,Box culvert,24.6071389,91.6216104,N2
LRP186,185.17,Km Post,Sylhet 46 km,24.6104722,91.6263604,N2
LRP186a,185.197,Culvert,Box culvert,24.6105556,91.6265549,N2
LRP186b,185.335,Culvert,Box culvert,24.6112778,91.627666,N2
LRP186c,185.552,Culvert,Box culvert,24.6123611,91.629416,N2
LRP186d,185.77,"Side Road, Left",Road to Raniganj (R241),24.6134167,91.6312493,N2
LRP186e,186.133,Bridge,Bridge start,24.6134722,91.6347774,N2
LRP186f,186.192,Bridge,Bridge end,24.6134722,91.6353608,N2
LRP187,186.23,Km Post,Sylhet 45 km,24.6134722,91.6357497,N2
LRP187a,187.1,Bridge,Bridge start,24.6128611,91.6441941,N2
LRP187b,187.116,Bridge,Bridge end,24.6128889,91.644333,N2
LRP188,187.21,Km Post,Sylhet 44 km,24.6130556,91.6452497,N2
LRP188a,187.857,Culvert,Box culvert,24.6143611,91.6514167,N2
LRP189,188.21,Km Post,Sylhet 43 km,24.6153333,91.65475,N2
LRP189a,188.774,Bridge,Bridge start,24.6169438,91.66,N2
LRP189b,188.806,Bridge,Bridge end,24.6170549,91.66025,N2
LRP190,189.21,Km Post,Sylhet 42 km/ Start of Moulavibazar road Division,24.6195827,91.6631667,N2
LRP190,189.21,Km Post,Sylhet 42 km/ Start of Moulavibazar road Division,24.6195827,91.6631667,N2
LRP190a,190.1,Bridge,Bridge start,24.6238604,91.6702771,N2
LRP190b,190.118,Bridge,Bridge end,24.623916,91.6703882,N2
LRP191,190.22,Km Post,Sylhet 41 km,24.6242493,91.6713882,N2
LRP191a,190.492,Culvert,Box culvert,24.625166,91.6738604,N2
LRP191b,190.892,"Side Road, Right",Road to Moulavo Bazar(N207),24.6264993,91.6774993,N2
LRP192,191.21,Km Post,Sylhet 40 km/ Start of Sylhet road Division,24.6290271,91.6784993,N2
LRP192,191.21,Km Post,Sylhet 40 km/ Start of Sylhet road Division,24.6290271,91.6784993,N2
LRP192a,191.284,Bridge,Bridge start,24.6293604,91.6791382,N2
LRP192b,191.564,Bridge,Bridge end,24.6305549,91.6815271,N2
LRP193,192.22,Km Post,Sylhet 39 km,24.6351386,91.6854163,N2
LRP194,193.123,Km Post,Sylhet 38 km,24.6417497,91.6905552,N2
LRP194a,193.188,Bridge,Bridge start,24.6422219,91.6908886,N2
LRP194b,193.351,Bridge,Bridge end,24.6432219,91.6919997,N2
LRP194c,194.258,Bridge,Bridge start,24.6489441,91.6983608,N2
LRP194d,194.285,Bridge,Bridge end,24.6491386,91.6984997,N2
LRP195,194.325,Km Post,Sylhet 37 km,24.6494441,91.6986941,N2
LRP196,195.288,Km Post,Sylhet 36 km,24.65525,91.7055833,N2
LRP196a,195.608,Culvert,Box culvert,24.6571944,91.7077778,N2
LRP197,196.298,Km Post,Sylhet 35 km,24.6625,91.7112222,N2
LRP197a,196.416,Culvert,Bridge start,24.6634444,91.7116389,N2
LRP197b,196.481,Bridge,Bridge end,24.664,91.7119167,N2
LRP198,197.298,Km Post,Sylhet 34 km,24.6707771,91.7151389,N2
LRP198a,197.355,Bridge,Bridge start,24.6712216,91.7153611,N2
LRP198b,197.369,Bridge,Bridge end,24.6713604,91.7154167,N2
LRP198c,198.279,Culvert,Box culvert,24.677666,91.7210549,N2
LRP199,198.308,Km Post,Sylhet 33 km,24.6777771,91.721166,N2
LRP199a,198.637,Bridge,Bridge start,24.6801104,91.7229993,N2
LRP199b,198.661,Bridge,Bridge end,24.6803049,91.7231104,N2
LRP199c,198.96,Culvert,Box culvert,24.6828604,91.7237771,N2
LRP200,199.308,Km Post,Sylhet 32 km,24.6861386,91.7243049,N2
LRP200a,199.344,Bridge,Bridge start,24.6864441,91.7243604,N2
LRP200b,199.37,Bridge,Bridge end,24.6866386,91.7243882,N2
LRP200c,199.612,Culvert,Box culvert,24.6887774,91.7246938,N2
LRP200d,200.217,Culvert,Box culvert,24.6940552,91.7259438,N2
LRP201,200.308,Km Post,Km post missing,24.6948608,91.7262216,N2
LRP201a,200.582,Culvert,Box culvert,24.6971663,91.7270549,N2
LRP201b,201.313,Culvert,Box culvert,24.7032222,91.7297493,N2
LRP202,201.333,Km Post,Sylhet 30 km,24.7033333,91.7298604,N2
LRP203,202.333,Km Post,Km post missing,24.7093889,91.7373886,N2
LRP203a,202.438,Culvert,Box culvert,24.7098056,91.7382497,N2
LRP204,203.328,Km Post,Sylhet 28 km,24.7148889,91.7448886,N2
LRP205,204.333,Km Post,Sylhet 27 km,24.7048611,91.7516944,N2
LRP205a,204.558,Culvert,Box Culvert,24.722916,91.7530556,N2
LRP205b,205.083,"Side Road, Right",Road to Balaganj (Z2022),24.7260827,91.7568889,N2
LRP206,205.333,Km Post,Sylhet 26 km,24.7273327,91.7591389,N2
LRP206a,205.614,Culvert,Box culvert,24.7284993,91.7615,N2
LRP206b,206.31,Culvert,Box culvert,24.7322493,91.7669438,N2
LRP207,206.333,Km Post,Km post broken,24.7323882,91.7671104,N2
LRP207a,206.766,Culvert,Box culvert,24.7350274,91.7702216,N2
LRP208,207.343,Km Post,Sylhet 24 km,24.7385552,91.774416,N2
LRP208a,207.993,Culvert,Box culvert,24.7436663,91.7768327,N2
LRP209,208.343,Km Post,Sylhet 23 km,24.7465552,91.7784993,N2
LRP209a,208.604,Culvert,Box culvert,24.7486386,91.7795271,N2
LRP209b,209.052,Culvert,Box culvert,24.7522778,91.7813327,N2
LRP210,209.348,Km Post,Sylhet 22 km,24.7548333,91.7823604,N2
LRP210a,210.011,Culvert,Box culvert,24.7605,91.7838886,N2
LRP211,210.348,Km Post,Sylhet 21 km,24.7636111,91.7836663,N2
LRP211a,210.636,Culvert,Box culvert,24.7661111,91.7686938,N2
LRP211b,210.913,Culvert,Box culvert,24.7686104,91.782916,N2
LRP212,211.358,Km Post,Sylhet 20 km,24.7726104,91.7829716,N2
LRP212a,212.001,Culvert,Box culvert,24.7783327,91.783833,N2
LRP213,212.363,Km Post,Sylhet 19 km,24.7815271,91.7843052,N2
LRP213a,212.741,Culvert,Box culvert,24.7847219,91.7849719,N2
LRP213b,213.311,Culvert,Box culvert,24.7890552,91.7876386,N2
LRP214,213.373,Km Post,Sylhet 18 km,24.7895274,91.7880552,N2
LRP214a,213.638,Culvert,Box culvert,24.7915274,91.7891108,N2
LRP214b,214.153,Culvert,Box culvert,24.7961386,91.7895274,N2
LRP215,214.258,Km Post,Sylhet 17 km,24.7970274,91.7896386,N2
LRP215a,215.211,Culvert,Box culvert,24.8055,91.7906663,N2
LRP216,215.418,Km Post,Sylhet 16 km,24.8072222,91.7911663,N2
LRP216a,215.472,Culvert,Box culvert,24.8075833,91.7912774,N2
LRP216b,215.832,"Side Road, Left",Road to Lamakazi (Z2016),24.8107222,91.7920274,N2
LRP216c,216.032,Culvert,Box culvert,24.8118056,91.7924163,N2
LRP217,216.438,Km Post,Sylhet 15 km,24.8150278,91.7953052,N2
LRP218,217.438,Km Post,Sylhet 14 km,24.820666,91.8029444,N2
LRP219,218.438,Km Post,Sylhet 13 km,24.8254438,91.8113333,N2
LRP219a,218.656,Culvert,Box culvert,24.8267216,91.813,N2
LRP220,219.438,Km Post,Sylhet 12 km,24.831666,91.8182771,N2
LRP220a,219.971,Bridge,Bridge start,24.8361941,91.8202771,N2
LRP220b,220.004,Bridge,Bridge end,24.8363052,91.8203327,N2
LRP221,220.438,Km Post,Sylhet 11 km,24.8401663,91.8216938,N2
LRP221a,220.464,Culvert,Box culvert,24.8402774,91.8217216,N2
LRP222,221.433,Km Post,Sylhet 10 km,24.8482774,91.8254438,N2
LRP222a,221.457,Culvert,Box culvert,24.8484997,91.8255271,N2
LRP222b,222.015,Culvert,Box culvert,24.8515556,91.8296104,N2
LRP223,222.463,Km Post,Sylhet 9 km,24.8545278,91.8326382,N2
LRP223a,223.223,Culvert,Box culvert,24.8584167,91.8384719,N2
LRP224,223.473,Km Post,Sylhet 8 km,24.8590833,91.840833,N2
LRP224a,223.528,Culvert,Box culvert,24.85925,91.8412497,N2
LRP224b,224.044,"Side Road, Left",R283,24.86075,91.8460552,N2
LRP224c,224.129,Bridge,Bridge start,24.8609167,91.846833,N2
LRP224d,224.173,Bridge,Bridge end,24.8610833,91.8472497,N2
LRP225,224.473,Km Post,Sylhet 7 km,24.8624722,91.8498886,N2
LRP225a,224.715,Culvert,Box culvert,24.8635278,91.8519444,N2
LRP225b,225.373,"Side Road, Right",Road to Balaganj (Z2013),24.8673049,91.8568056,N2
LRP226,225.493,Km Post,Sylhet 6 km,24.8677216,91.8577778,N2
LRP226a,225.729,Culvert,Box culvert,24.8681382,91.8601111,N2
LRP226b,225.865,Culvert,Box culvert,24.868416,91.8613611,N2
LRP226c,226.365,Culvert,Box culvert,24.870416,91.8655,N2
LRP227,226.493,Km Post,Km post missing,24.8714993,91.86625,N2
LRP227a,226.808,Culvert,Box culvert,24.8740271,91.8677493,N2
LRP228,227.493,Km Post,Km post missing,24.8771104,91.8729438,N2
LRP228a,227.568,Bridge,Bridge start,24.8772216,91.8735271,N2
LRP228b,227.587,Bridge,Bridge end,24.8772216,91.8737216,N2
LRP228c,227.756,"Side Road, Left",N209,24.8776938,91.8752771,N2
LRP228d,227.757,"Side Road, Right",N208 to Moulovibazar,24.8776938,91.8752771,N2
LRP229,227.793,Km Post,Km post broken,22.8777493,91.8755549,N2
LRP229a,227.988,Culvert,Under Pass R250,24.878666,91.8771382,N2
LRP229b,228.186,Bridge,Bridge start,24.8801938,91.8782493,N2
LRP229c,228.504,Bridge,Bridge end,24.8827493,91.8796938,N2
LRP230,228.793,Km Post,Km post missing,24.8851108,91.8808604,N2
LRP230a,229.093,Culvert,Box culvert,24.8874719,91.8804993,N2
LRP230b,229.207,Culvert,Box culvert,24.8884163,91.8801104,N2
LRP231,229.793,Km Post,Km post missing,24.8928886,91.8782493,N2
LRP231a,229.807,Culvert,Box culvert,24.8929997,91.8783049,N2
LRP231b,229.888,"Side Road, Left",Road to Keen Bridge(N206),24.8937497,91.878416,N2
LRP231c,230.174,Culvert,Box culvert,24.8951663,91.880166,N2
LRP231d,230.391,Culvert,Box culvert,24.8953052,91.8822493,N2
LRP231e,230.648,Culvert,Box culvert,24.8953608,91.8848052,N2
LRP232,230.793,Km Post,Km post missing,24.8953886,91.8863886,N2
LRP232a,230.939,Culvert,Box culvert,24.8951941,91.8877774,N2
LRP233,231.793,Km Post,Km post missing,24.8956941,91.8959441,N2
LRP233a,231.999,Culvert,Box culvert,24.8951941,91.897833,N2
LRP233b,232.724,Culvert,Box culvert,24.8966108,91.9039444,N2
LRP234,232.888,Km Post,Tamabil 50 km,24.8965274,91.9055556,N2
LRP234a,233.873,Culvert,Box culvert,24.9005,91.9141667,N2
LRP235,233.893,Km Post,Horipur 17 km,24.9006389,91.9144722,N2
LRP236,234.883,Km Post,Horipur 16 km,24.9055556,91.9226382,N2
LRP236a,235.123,Culvert,Box culvert,24.9068333,91.9244993,N2
LRP236b,235.773,Culvert,Box culvert,24.9069444,91.930416,N2
LRP237,235.883,Km Post,Tamabil 47 km,24.9101111,91.9311382,N2
LRP237a,236.563,Bridge,Bridge start,24.9132778,91.9366108,N2
LRP237b,236.573,Bridge,Bridge end,24.9132778,91.9366941,N2
LRP238,236.883,Km Post,Jaflong 50 km,24.9139167,91.9396941,N2
LRP238a,237.447,Bridge,Bridge start,24.9152222,91.947833,N2
LRP238b,237.464,Bridge,Bridge end,24.9152778,91.9479441,N2
LRP238c,237.692,Culvert,Box culvert,24.9157778,91.9473608,N2
LRP239,237.883,Km Post,Km post missing,24.91625,91.9494441,N2
LRP239a,237.923,"Side Road, Right",N210,24.9163056,91.949583,N2
LRP240,238.883,Km Post,Jaintapur 31 km,24.9196382,91.9583333,N2
LRP240a,238.909,Culvert,Box culvert,24.9197493,91.9585278,N2
LRP240b,239.215,Culvert,Box culvert,24.921166,91.9611389,N2
LRP241,239.883,Km Post,Tamabil 43 km,24.9252493,91.966,N2
LRP241a,240.565,Bridge,Bridge start,24.9294438,91.9708327,N2
LRP241b,240.582,Bridge,Bridge end,24.9295549,91.9708327,N2
LRP241c,240.787,Culvert,Box culvert,24.9305827,91.9725549,N2
LRP242,240.883,Km Post,Jaflong 46 km,24.9310827,91.9734716,N2
LRP242a,241.54,Culvert,Box culvert,24.9342219,91.9789716,N2
LRP243,241.883,Km Post,Horipur 9 km,24.9359163,91.9818049,N2
LRP243a,242.112,Bridge,Bridge start,24.9367497,91.9838886,N2
LRP243b,242.127,Bridge,Bridge end,24.9368052,91.9840274,N2
LRP243c,242.828,Culvert,Box culvert,24.9389997,91.9905274,N2
LRP244,242.888,Km Post,Jainyapur 27 km,24.9391663,91.9910274,N2
LRP245,243.888,Km Post,Tamabil 39 km,24.9440552,91.9991108,N2
LRP245a,244.601,Culvert,Box culvert,24.9488608,92.0035833,N2
LRP246,244.928,Km Post,Jaflong 42 km,24.9508056,92.006,N2
LRP246a,245.111,Bridge,Bridge start,24.9518611,92.0073333,N2
LRP246b,245.123,Bridge,Bridge end,24.9518889,92.0073889,N2
LRP246c,245.764,Culvert,Box culvert,24.9565278,92.0110278,N2
LRP247,245.938,Km Post,Horipur 5 km,24.9578611,92.0119167,N2
LRP247a,245.967,Culvert,Box culvert,24.9580556,92.0120278,N2
LRP247b,246.916,Culvert,Box culvert,24.96325,92.0188604,N2
LRP248,246.948,Km Post,Jaintapur 23  km,24.9632778,92.0192216,N2
LRP248a,247.479,Culvert,Box Culvert,24.9645278,92.024166,N2
LRP249,247.948,Km Post,Tamabil 35 km,24.9681104,92.0266382,N2
LRP249a,248.806,Culvert,Box culvert,24.972666,92.0328327,N2
LRP250,248.953,Km Post,Jaflong 38 km,24.9737216,92.0339163,N2
LRP250a,249.134,Culvert,Box culvert,24.9750271,92.0346663,N2
LRP251,249.953,Km Post,Horipur 1 km,24.9820549,92.0371108,N2
LRP251a,250.105,Culvert,Box culvert,24.9832216,92.037833,N2
LRP252,250.953,Km Post,Km post missing,24.9893608,92.0419997,N2
LRP252a,250.991,Bridge,Bridge start,24.989583,92.0422497,N2
LRP252b,251.09,Bridge,Bridge end,24.9902219,92.0429163,N2
LRP253,251.973,Km Post,Tamabil 31 km,24.9969441,92.0471108,N2
LRP253a,252.53,Bridge,Bridge start,25.0015833,92.0479719,N2
LRP253b,252.619,Bridge,Bridge end,25.0022778,92.0482497,N2
LRP254,252.973,Km Post,Jaflong 34 km,25.0047778,92.0505556,N2
LRP255,253.973,Km Post,Jaintapur 16 km,25.0110556,92.0576944,N2
LRP255a,254.476,Bridge,Bridge start,25.0141111,92.0612778,N2
LRP255b,254.514,Bridge,Bridge end,25.0143333,92.0615,N2
LRP256,254.973,Km Post,Tamabil 28 km,25.0175271,92.0644444,N2
LRP257,255.978,Km Post,Jaflong 31 km,25.0253604,92.0693882,N2
LRP257a,256.463,Bridge,Bridge start,25.0290827,92.0718327,N2
LRP257b,256.506,Bridge,Bridge end,25.0293882,92.0720271,N2
LRP258,256.983,Km Post,Jaintapur 13 km,25.0324438,92.0753049,N2
LRP258a,257.964,Bridge,Bridge start,25.0372497,92.0833886,N2
LRP258b,258.027,Bridge,Bridge end,25.0375274,92.083833,N2
LRP259,258.033,Km Post,Tamabil 25 km,25.0375552,92.0839163,N2
LRP260,258.993,Km Post,Jaflong 28 km,25.0433886,92.0909441,N2
LRP260a,259.711,Culvert,Box culvert,25.0478886,92.0959441,N2
LRP261,259.993,Km Post,Jaintapur 10 km,25.0497219,92.0980274,N2
LRP261a,260.526,Culvert,Box culvert,25.0364163,92.1016667,N2
LRP261b,260.851,Culvert,Box culvert,25.0551111,92.1038889,N2
LRP262,260.993,Km Post,Km post missing,25.0561944,92.10475,N2
LRP262a,261.318,Culvert,Box culvert,25.0588056,92.1061389,N2
LRP263,261.993,Km Post,Jaflong 25 km,25.0643889,92.1090556,N2
LRP263a,262.122,"Side Road, Right",Road to Kanaighat (Z2011),25.0654444,92.1095833,N2
LRP263b,262.383,Bridge,Bridge start,25.0675549,92.1106389,N2
LRP263c,262.411,Bridge,Bridge end,25.0678049,92.11075,N2
LRP264,262.993,Km Post,Jaintapur 7 km,25.0728604,92.1123333,N2
LRP265,263.998,Km Post,Km post broken,25.0815549,92.1150556,N2
LRP265a,264.16,Bridge,Bridge start,25.0829438,92.1154722,N2
LRP265b,264.183,Bridge,Bridge end,25.0831382,92.1155556,N2
LRP265c,264.882,"Side Road, Left",Road to Gowainghat (Z2012),25.0891386,92.1174993,N2
LRP266,264.993,Km Post,Jaflong 22 km,25.0900274,92.117916,N2
LRP266a,265.228,Bridge,Bridge start,25.092083,92.1178604,N2
LRP266b,265.424,Bridge,Bridge end,25.0938052,92.1178327,N2
LRP267,265.993,Km Post,Jaintapur 4 km,25.0990552,92.1178049,N2
LRP267a,266.441,Bridge,Bridge start,25.1030278,92.1184438,N2
LRP267b,266.468,Bridge,Bridge end,25.10325,92.1184716,N2
LRP268,266.998,Km Post,Jaintapur 3 km,25.1080556,92.1187493,N2
LRP269,268.008,Km Post,Jaflong 19 km,25.1170271,92.1191938,N2
LRP269a,268.983,Bridge,Bridge start,25.1252493,92.1163611,N2
LRP269b,269.069,Bridge,Bridge end,25.1260271,92.11625,N2
LRP270,269.078,Km Post,Jaintapur 1 km,25.1261382,92.1161944,N2
LRP270a,269.68,Bridge,Bridge start,25.1296382,92.1196382,N2
LRP270b,269.708,Bridge,Bridge end,25.1298327,92.1196382,N2
LRP270c,269.927,Bridge,Bridge start,25.131666,92.1203049,N2
LRP270d,269.954,Bridge,Bridge end,25.1318327,92.1204438,N2
LRP271,269.968,Km Post,Tamabil 13 km,25.1319438,92.1205549,N2
LRP271a,270.816,Bridge,Bridge start,25.1216382,92.1203327,N2
LRP271b,270.896,Bridge,Bridge end,25.1389441,92.1199438,N2
LRP272,270.928,Km Post,Jaflong 16 km,25.1391386,92.1198049,N2
LRP272a,271.123,Bridge,Bridge start,25.1408608,92.1197771,N2
LRP272b,271.142,Bridge,Bridge end,25.1410274,92.1197771,N2
LRP273,271.938,Km Post,Tamabil 11 km,25.1367219,92.1175827,N2
LRP273a,272.56,Bridge,Bridge start,25.15025,92.1126944,N2
LRP273b,272.625,Bridge,Bridge end,25.156,92.1121111,N2
LRP274,272.938,Km Post,Jaflong 14 km,25.1516667,92.10925,N2
LRP274a,273.046,Bridge,Bridge start,25.15225,92.1085,N2
LRP274b,273.093,Bridge,Bridge end,25.1526389,92.1083611,N2
LRP274c,273.253,Bridge,Bridge start,25.1536944,92.1073611,N2
