LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRP447b,443.288,Culvert,Box culvert,21.0078889,92.251,N1
LRP447c,443.489,Culvert,Box culvert,21.0064444,92.2520833,N1
LRP448,443.913,Km Post,Teknaf 29 km,21.0029444,92.2531944,N1
LRP448a,444.358,Bridge,Bridge start,20.9990274,92.2537778,N1
LRP448b,444.408,Bridge,Bridge end,20.9986386,92.2538889,N1
LRP448c,444.911,Culvert,Box culvert,20.9942497,92.2545278,N1
LRP449,444.945,Km Post,Teknaf 18 km,20.9940274,92.2546111,N1
LRP449a,445.687,Culvert,Box culvert,20.9875274,92.2545556,N1
LRP450,445.964,Km Post,Infor.missing,20.9852774,92.2536389,N1
LRP450a,446.856,Bridge,Bridge start,20.9778049,92.25075,N1
LRP450b,446.888,Bridge,Bridge end,20.9775827,92.2506111,N1
LRP451,446.964,Km Post,Km post missing,20.9769438,92.2502222,N1
LRP451a,447.825,Culvert,Box culvert,20.9697216,92.2485552,N1
LRP452,447.999,Km Post,Infor.missing,20.9682771,92.2488052,N1
LRP452a,448.118,Bridge,Bridge start,20.9673604,92.2491663,N1
LRP452b,448.16,Bridge,Bridge end,20.9671104,92.2494441,N1
LRP452c,448.497,Culvert,Box culvert,20.9648611,92.2515278,N1
LRP452d,448.82,Bridge,Bridge start,20.9622778,92.2528889,N1
LRP452e,448.851,Bridge,Bridge end,20.9620556,92.2530556,N1
LRP453,449.019,Km Post,Info.Missing,20.9606389,92.2535,N1
LRP453a,449.321,Culvert,Box culvert,20.9580833,92.2543056,N1
LRP453b,449.491,Culvert,Box culvert,20.9566667,92.2548056,N1
LRP453c,449.827,Culvert,Box culvert,20.9538889,92.2559722,N1
LRP453d,449.92,Culvert,Box culvert,20.9531667,92.2562778,N1
LRP453e,450.04,Culvert,Box culvert,20.95225,92.2566111,N1
LRP454,450.056,Km Post,Info.Missing,20.9521667,92.2566944,N1
LRP454a,450.391,Culvert,Box culvert,20.9660278,92.2579167,N1
LRP454b,450.558,Bridge,Bridge start,20.9482774,92.2589167,N1
LRP454c,450.604,Bridge,Bridge end,20.9481386,92.2593056,N1
LRP454d,450.934,Culvert,Box culvert,20.9459163,92.2603333,N1
LRP455,451.121,Km Post,Info.Missing,20.9445552,92.2603333,N1
LRP455a,451.22,Culvert,Box culvert,20.9436941,92.2603056,N1
LRP455b,451.972,Bridge,Bridge start,20.9373886,92.2623333,N1
LRP455c,452.012,Bridge,Bridge end,20.9371108,92.2624722,N1
LRP456,452.121,Km Post,Km post missing,20.9361663,92.2628611,N1
LRP456a,452.133,Culvert,Box culvert,20.9361108,92.2628611,N1
LRP456b,452.299,Culvert,Box culvert,20.9346663,92.2631667,N1
LRP456c,452.339,Culvert,Box culvert,20.934333,92.26325,N1
LRP456d,452.489,Culvert,Box culvert,20.9330549,92.2635,N1
LRP456e,452.877,Bridge,Bridge start,20.929666,92.2641111,N1
LRP456f,452.914,Bridge,Bridge end,20.9293327,92.2641389,N1
LRP457,453.17,Km Post,Infor.missing,20.9270827,92.2644444,N1
LRP457a,453.551,Bridge,Bridge start,20.9238882,92.2653889,N1
LRP457b,453.602,Bridge,Bridge end,20.9234993,92.2656111,N1
LRP457c,454.132,Bridge,Bridge start,20.9195827,92.268416,N1
LRP457d,454.149,Bridge,Bridge end,20.9194993,92.2684716,N1
LRP457e,454.204,Culvert,Box Culvert,20.9189993,92.2686382,N1
LRP458,454.234,Km Post,Teknaf 8 km,20.9187771,92.2687771,N1
LRP458a,454.374,Culvert,Box Culvert,20.9176382,92.2692493,N1
LRP458b,454.629,Bridge,Bridge start,20.9157222,92.2704993,N1
LRP458c,454.667,Bridge,Bridge end,20.9154167,92.2706938,N1
LRP458d,454.899,Culvert,Box Culvert,20.9136389,92.2718604,N1
LRP458e,454.982,Culvert,Box culvert,20.9132778,92.2721938,N1
LRP458f,455.1,Culvert,Box Culvert,20.9123889,92.2729716,N1
LRP459,455.126,Km Post,Teknaf 7 km,20.9122222,92.2729438,N1
LRP459a,455.572,Bridge,Bridge start,20.9088889,92.275166,N1
LRP459b,455.619,Bridge,Bridge end,20.9085556,92.2753604,N1
LRP459c,455.857,Culvert,Box Culvert,20.90675,92.2764993,N1
LRP459d,455.98,Culvert,Box culvert,20.9059444,92.2771104,N1
LRP460,456.126,Km Post,Km post missing,20.9048333,92.277916,N1
LRP460a,456.143,Culvert,Box Culvert,20.9047222,92.2779716,N1
LRP460b,456.337,Culvert,Box Culvert,20.9033333,92.2789438,N1
LRP460c,456.44,Culvert,Box culvert,20.9027222,92.279416,N1
LRP460d,456.751,Bridge,Bridge start,20.9003333,92.2807216,N1
LRP460e,456.787,Bridge,Bridge end,20.9001111,92.2809716,N1
LRP460f,456.9,Culvert,Box culvert,20.8994441,92.2817216,N1
LRP460g,457.064,Bridge,Bridge start,20.8984719,92.2828604,N1
LRP460h,457.111,Bridge,Bridge end,20.8982219,92.283166,N1
LRP461,457.126,Km Post,Km post missing,20.8981108,92.2832493,N1
LRP461a,457.148,Culvert,Box culvert,20.8980274,92.283333,N1
