road,id,model_type,name,lat,lon,length,condition,lrp,ZONE,NEWFIELD1,AFFECTED
N105,5000009,bridge,KHAJLA PUR,23.7161944,90.5700827,6,A,LRP003a,II,D,
N105,5000021,bridge,Bridge Start,23.744708,90.58551355,0,B,LRP007b,II,D,
N105,5000027,bridge,Bridge Start,23.75968055,90.57737435,0,B,LRP009b,II,D,
N105,5000032,bridge,Bridge Start,23.76937435,90.57192985,0,B,LRP010b,II,D,
N105,5000050,bridge,CHAPRY,23.835958,90.5455413,4,A,LRP020,II,D,
N105,5000065,bridge,ULAKOLA,23.871416,90.5068056,209,A,LRP026c,II,D,
N105,5000073,bridge,Ulukhola Bridge (2 bridges at crossing),23.8859163,90.4924441,175,A,LRP029a,II,D,
N105,5000078,bridge,SHAMMUDDA,23.899083,90.4819021,4,A,LRP031c,II,D,
N105,5000087,bridge,"Gazipur 17 km, Tangail 75 km, Bangabandhu 98 km, / Bridge start",23.91722185,90.46874935,0,B,LRP034,II,D,
N105,5000092,bridge,DIRASURAM,23.9240549,90.4591944,13,A,LRP035a,II,D,
N106,9000002,bridge,TANARI BOTTOLA CULVERT,22.3974997,91.8200271,2,C,LRPSa,II,D,
N106,9000004,bridge,TANARI BOTTOLA CULVERT,22.3990552,91.8198049,3,A,LRPSb,II,D,
N106,9000006,bridge,TANARI BOX CULVERT,22.4004722,91.8193604,2,C,LRPSc,II,D,
N106,9000010,bridge,BALUCHARA,22.4060278,91.818666,3,A,LRP001b,II,D,
N106,9000013,bridge,BALUCHARA,22.4121667,91.8185549,12,A,LRP002a,II,D,
N106,9000015,bridge,NOTUN PARA (2 bridges at crossing),22.41555555,91.819166,18,B,LRP002b,II,D,
N106,9000019,bridge,AMAR BAZAR,22.4223882,91.8200271,4,A,LRP003a,II,D,
N106,9000021,bridge,LALIYAR HAT,22.4244438,91.8197771,3,C,LRP003b,II,D,
N106,9000024,bridge,BORDIGHIR PAR,22.4309993,91.8199993,4,C,LRP004a,II,D,
N106,9000028,bridge,BORODIGHIR PAR,22.4382497,91.8206104,9,C,LRP005a,II,D,
N106,9000030,bridge,CHOWDIRIR HAT,22.4444441,91.8190549,6,C,LRP005b,II,D,
N106,9000033,bridge,PASHIM CHARAKUL CUL,22.4515,91.8175827,8,A,LRP006a,II,D,
N106,9000037,bridge,PASSIM SURAGOL,22.4555,91.8171382,9,B,LRP007a,II,D,
N106,9000043,bridge,MODANHAT (2 bridges at crossing),22.47113825,91.815125,12,A,LRP008b,II,D,
N106,9000058,bridge,Subadaggu Bridge (2 bridges at crossing),22.50475,91.82683265,64,C,LRP014a,II,D,
N106,9000062,bridge,ISAPUR BRIDGE (2 bridges at crossing),22.50736115,91.8330271,34,C,LRP015a,II,D,
N106,9000068,bridge,BODORGONA BOX CUL,22.51418055,91.84538855,3,A,LRP016b,II,D,
N106,9000074,bridge,Bridge start,22.5162361,91.8546528,0,B,LRP018a,II,D,
N106,9000084,bridge,Bridge start,22.52636045,91.8727771,0,B,LRP020b,II,D,
N106,9000088,bridge,Bridge start,22.5288743,91.8782771,0,B,LRP021a,II,D,
N106,9000092,bridge,JALANIR HAT,22.5322771,91.8897636,4,C,LRP022a,II,D,
N106,9000095,bridge,SULTAN PUR CULVERT,22.5325549,91.8921386,3,A,LRP022c,II,D,
N106,9000100,bridge,Beroli Bridge (2 bridges at crossing),22.53351355,91.899458,25,C,LRP023c,II,D,
N106,9000103,bridge,Bridge start,22.5342358,91.9020417,0,B,LRP023e,II,D,
N106,9000115,bridge,POSHIM RAYJON,22.5354997,91.9238049,9,C,LRP026a,II,D,
N106,9000124,bridge,Rauzan dalarmuk Bridge,22.5386802,91.95605555,15,A,LRP030a,II,D,
N106,9000176,bridge,RANGUNID,22.549833,92.0133056,3,A,LRP039b,II,D,
N106,9000179,bridge,THANDHA CHOR ARCH MASONRY,22.55270835,92.01663855,2,D,LRP039d,II,D,
N106,9000183,bridge,THANDHA CHOR ARCH MASONRY,22.5530278,92.0179716,2,D,LRP040a,II,D,
N106,9000191,bridge,Rahirhat Bridge (2 bridges at crossing),22.5638611,92.0381386,128,C,LRP042b,II,D,
N106,9000210,bridge,MOGI CHORI,22.5935413,92.0715549,3,A,LRP047a,II,D,
N106,9000221,bridge,GHAGRA ARCH MASO,22.6094444,92.0973886,1,A,LRP051b,II,D,
N106,9000227,bridge,KOLA BAGAN ARCH MASONRY,22.6221104,92.1066111,5,C,LRP053a,II,D,
N106,9000229,bridge,MOSHIS PARA CULVERT,22.622916,92.1081111,9,A,LRP053b,II,D,
N106,9000233,bridge,MOIS PARA ARCH MASONRY,22.6277771,92.1130833,2,B,LRP054b,II,D,
N106,9000237,bridge,KOBAGON ARCH MASONRY,22.6314438,92.1136667,1,A,LRP054e,II,D,
N106,9000247,bridge,Bridge start,22.64773575,92.13662465,0,B,LRP059a,II,D,
N2,2000448,bridge,CHARA BOX CULVERT,24.2585833,91.3780827,4,A,LRP130b,I,D,
N2,2000453,bridge,GORIPUR BOX CULVERT,24.2655278,91.3821382,3,B,LRP131a,I,D,
N2,2000458,bridge,SHARALDI BOX CULVERT,24.2710271,91.3923052,2,A,LRP132b,I,D,
N2,2000562,bridge,MONDUL KAFON,24.3974163,91.5618333,3,A,LRP159c,I,D,
N2,2000566,bridge,Putajuri Bridge (2 bridges at crossing),24.4034167,91.5644444,20,A,LRP160b,I,D,
N2,2000568,bridge,PUTA JURI BOX CULVERT,24.4060972,91.5648889,2,C,LRP160c,I,D,
N2,2000572,bridge,PUTA JURI SCHOOL,24.4076111,91.5649167,3,A,LRP161a,I,D,
N2,2000576,bridge,RAJSURAT BOX CULVERT,24.4166389,91.5661111,11,A,LRP162a,I,D,
N2,2000578,bridge,SHUKCHAR,24.41938386,91.56687636,2,A,LRP162b,I,D,
N2,2000581,bridge,SHUKCHAR,24.4220827,91.5675549,4,A,LRP162d,I,D,
N2,2000585,bridge,COLTANPUR BOX CULVERT,24.42624935,91.5682493,2,A,LRP163a,I,D,
N2,2000594,bridge,BARO CHAR BOX CULVERT,24.43921044,91.56926967,3,A,LRP164c,I,D,
N2,2000597,bridge,Rokonpur Bridge (2 bridges at crossing),24.4421663,91.5698604,20,B,LRP164e,I,D,
N2,2000600,bridge,RAKONPUR BOX CULVERT,24.4451108,91.57058265,4,A,LRP165a,I,D,
N2,2000606,bridge,BARIMA BOX CULVERT,24.4527222,91.5719993,4,C,LRP166a,I,D,
N2,2000610,bridge,VORGOU BOX CULVERT,24.4568333,91.5723882,6,A,LRP166d,I,D,
N2,2000614,bridge,BOROKADI BOX CULVERT,24.4605833,91.5744716,7,A,LRP167a,I,D,
N2,2000618,bridge,PANIUNDAPC GIRDIR (2 bridges at crossing),24.4694299,91.57372155,21,A,LRP167d,I,D,
N2,2000622,bridge,KORAGU BOX CULVERT,24.4733049,91.57433265,6,A,LRP168a,I,D,
N2,2000627,bridge,KURGGUB BOX CULVERT,24.4798327,91.5762771,2,A,LRP169a,I,D,
N2,2000629,bridge,SATAIHULL,24.4821938,91.5769993,3,A,LRP169b,I,D,
N2,2000632,bridge,SATAIHUL,24.4852774,91.5779716,1,A,LRP169d,I,D,
N2,2000634,bridge,SATHAIL CULVERT,24.4862774,91.5782771,2,A,LRP169e,I,D,
N2,2000639,bridge,SATAIHUL,24.4915136,91.58001325,2,A,LRP170c,I,D,
N2,2000642,bridge,SATAIHAL BOX CULVERT,24.4930274,91.580416,3,A,LRP170e,I,D,
N2,2000644,bridge,SATAIHAL BOX CULVERT,24.4934719,91.5804716,3,A,LRP170f,I,D,
N2,2000646,bridge,MARAURA,24.4939997,91.5805827,2,A,LRP170g,I,D,
N2,2000651,bridge,MARAURA CULVERT,24.4961663,91.5811104,3,A,LRP171a,I,D,
N2,2000653,bridge,MURAURA CULVERT,24.4969441,91.5815827,3,A,LRP171b,I,D,
N2,2000658,bridge,DEWPARA CUVERT,24.4996941,91.5833608,2,A,LRP171f,I,D,
N2,2000662,bridge,GARIPUR,24.5055556,91.5848886,6,A,LRP172a,I,D,
N2,2000666,bridge,MALAR BATAR,24.5086944,91.5851663,8,B,LRP172d,I,D,
N2,2000679,bridge,DEVPARA BOXCULVERT,24.526916,91.5935274,2,A,LRP174e,I,D,
N2,2000683,bridge,NORTH DEVPARA 2 CULVER,24.5333886,91.5982219,2,A,LRP175b,I,D,
N2,2000685,bridge,NOLSUZA 2 CULVERT,24.5347497,91.5991663,2,A,LRP175c,I,D,
N2,2000689,bridge,NALSUZA,24.5363052,91.6007222,2,A,LRP176a,I,D,
N2,2000691,bridge,SODORPUR NOTUNBAZAR,24.5372497,91.6016389,2,A,LRP176b,I,D,
