bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
1001155,SOUTH MITHACHARI,N1,A,3,False,0,0,1,1234567
1001162,CHALIYA TOLI -2 ARCH MASONRY,N1,C,1,False,0,0,1,1234567
1001168,PANAR CHORH -3 SLAB CULVERT,N1,C,3,False,0,0,1,1234567
1001172,PANCHARA SLAB CULVERT,N1,B,3,False,0,0,1,1234567
1001174,PANCHARA SLAB CULVERT,N1,C,2,False,0,0,1,1234567
1001176,PANAR CHORA SLAB CULVERT,N1,B,3,False,0,0,1,1234567
1001179,PANCHARA SLAB CULVERT,N1,A,2,False,0,0,1,1234567
1001182,PANCHORI,N1,A,1,False,0,0,1,1234567
1001185,DALA-2 SLAB CULVERT,N1,A,2,False,0,0,1,1234567
1001187,DALA-3 SLAB CULVERT,N1,C,2,False,0,0,1,1234567
1001190,DALA SLAB CULVERT,N1,A,3,False,0,0,1,1234567
1001192,DHALLA SLAB CULVERT,N1,C,2,False,0,0,1,1234567
1001195,PANAR CHORI SLAB CULVERT,N1,A,1,False,0,0,1,1234567
1001199,PANCR CHAR SLAB CULVERT,N1,C,1,False,0,0,1,1234567
1001203,TELA BAGAN SLAB CULVERT,N1,A,1,False,0,0,1,1234567
1001205,PARARHORA CULVERT,N1,B,1,False,0,0,1,1234567
1001210,TULA BAGAN,N1,B,1,False,0,0,1,1234567
1001212,TOLA BAGAN,N1,B,2,False,0,0,1,1234567
1001217,NORTH CONIA PARA BOX CULVERT,N1,A,4,False,0,0,1,1234567
1001222,CONIA PARA,N1,C,11,False,0,0,1,1234567
1001230,Khulna Plong Bridge,N1,B,0,False,0,0,1,1234567
1001234,JASOYA PALONG RCC GIDER BRIDGE,N1,C,5,False,0,0,1,1234567
1001237,Jasoya check post.,N1,B,1,False,0,0,1,1234567
1001240,Bridge start,N1,B,0,False,0,0,1,1234567
1001244,Bridge start,N1,B,0,False,0,0,1,1234567
1001252,Bridge start,N1,B,0,False,0,0,1,1234567
1001257,COURT BAZAR,N1,A,10,False,0,0,1,1234567
1001259,COURT BAZAR,N1,A,10,False,0,0,1,1234567
1001266,EJILA,N1,C,11,False,0,0,1,1234567
1001271,Bridge start,N1,B,0,False,0,0,1,1234567
1001274,Bridge start,N1,B,0,False,0,0,1,1234567
1001278,JADIMORA (3),N1,A,17,False,0,0,1,1234567
1001281,JADIMORA (1),N1,A,2,False,0,0,1,1234567
1001283,WEST OGALA,N1,C,11,False,0,0,1,1234567
1001287,OKYIA STATION,N1,C,8,False,0,0,1,1234567
1001290,UKLIA-SHAHABMARKAT,N1,C,2,False,0,0,1,1234567
1001295,Bridge start,N1,B,0,False,0,0,1,1234567
1001307,KOSUKONA,N1,A,2,False,0,0,1,1234567
1001319,Bridge start,N1,B,0,False,0,0,1,1234567
1001322,Batukhali Bridge (2 bridges at crossing),N1,A,9,False,0,0,1,1234567
1001326,Bridge start,N1,B,0,False,0,0,1,1234567
