bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank
2000677,N2,ANGOOM BOX CUL,A,1,24.5248604,91.5916108,20627.3,0.0,0.6796116184978717,0.0,0.47572813294851013,160
2000683,N2,NORTH DEVPARA 2 CULVER,A,2,24.5333886,91.5982219,20627.1,0.0,0.6796050290594235,0.0,0.47572352034159643,161
2000685,N2,NOLSUZA 2 CULVERT,A,2,24.5347497,91.5991663,20627.1,0.0,0.6796050290594235,0.0,0.47572352034159643,162
2000679,N2,DEVPARA BOXCULVERT,A,2,24.526916,91.5935274,20627.0,0.0,0.6796017343401995,0.0,0.47572121403813966,163
2000673,N2,AUGON BOX CULVERT,A,4,24.52137435,91.5895691,20625.8,0.0,0.6795621977095112,0.0,0.4756935383966578,164
2000662,N2,GARIPUR,A,6,24.5055556,91.5848886,20624.4,0.0,0.6795160716403749,0.0,0.4756612501482624,165
2000666,N2,MALAR BATAR,B,8,24.5086944,91.5851663,20623.6,0.0,0.6794897138865825,0.0,0.47564279972060775,166
2000658,N2,DEWPARA CUVERT,A,2,24.4996941,91.5833608,20622.9,0.0,0.6794666508520145,0.0,0.47562665559641015,167
2000653,N2,MURAURA CULVERT,A,3,24.4969441,91.5815827,20622.3,0.0,0.6794468825366702,0.0,0.4756128177756691,168
2000639,N2,SATAIHUL,A,2,24.4915136,91.58001325,20621.2,0.0,0.679410640625206,0.0,0.4755874484376441,169
2000646,N2,MARAURA,A,2,24.4939997,91.5805827,20621.1,0.0,0.6794073459059818,0.0,0.47558514213418723,170
2000644,N2,SATAIHAL BOX CULVERT,A,3,24.4934719,91.5804716,20621.1,0.0,0.6794073459059818,0.0,0.47558514213418723,171
2000642,N2,SATAIHAL BOX CULVERT,A,3,24.4930274,91.580416,20621.1,0.0,0.6794073459059818,0.0,0.47558514213418723,172
2000651,N2,MARAURA CULVERT,A,3,24.4961663,91.5811104,20620.8,0.0,0.6793974617483098,0.0,0.4755782232238169,173
2000632,N2,SATAIHUL,A,1,24.4852774,91.5779716,20620.5,0.0,0.6793875775906377,0.0,0.47557130431344635,174
2000634,N2,SATHAIL CULVERT,A,2,24.4862774,91.5782771,20620.3,0.0,0.6793809881521897,0.0,0.47556669170653276,175
2000627,N2,KURGGUB BOX CULVERT,A,2,24.4798327,91.5762771,20619.8,0.0,0.6793645145560695,0.0,0.4755551601892486,176
2000629,N2,SATAIHULL,A,3,24.4821938,91.5769993,20619.1,0.0,0.6793414515215013,0.0,0.47553901606505083,177
2000618,N2,PANIUNDAPC GIRDIR (2 bridges at crossing),A,21,24.4694299,91.57372155,20617.9,0.0,0.679301914890813,0.0,0.4755113404235691,178
2000622,N2,KORAGU BOX CULVERT,A,6,24.4733049,91.57433265,20617.5,0.0,0.6792887360139169,0.0,0.47550211520974184,179
2000610,N2,VORGOU BOX CULVERT,A,6,24.4568333,91.5723882,20616.8,0.0,0.6792656729793487,0.0,0.4754859710855441,180
2000614,N2,BOROKADI BOX CULVERT,A,7,24.4605833,91.5744716,20615.7,0.0,0.6792294310678845,0.0,0.4754606017475191,181
2000597,N2,Rokonpur Bridge (2 bridges at crossing),B,20,24.4421663,91.5698604,20615.3,0.0,0.6792162521909882,0.0,0.47545137653369174,182
2000606,N2,BARIMA BOX CULVERT,C,4,24.4527222,91.5719993,20615.3,0.0,0.6792162521909882,0.0,0.47545137653369174,183
2000600,N2,RAKONPUR BOX CULVERT,A,4,24.4451108,91.57058265,20614.8,0.0,0.6791997785948681,0.0,0.4754398450164077,184
2000594,N2,BARO CHAR BOX CULVERT,A,3,24.439210435714287,91.56926966696427,20614.4,0.0,0.6791865997179721,0.0,0.47543061980258045,185
2000581,N2,SHUKCHAR,A,4,24.4220827,91.5675549,20612.9,0.0,0.6791371789296117,0.0,0.47539602525072816,186
2000585,N2,COLTANPUR BOX CULVERT,A,2,24.42624935,91.5682493,20612.0,0.0,0.6791075264565954,0.0,0.47537526851961676,187
2000576,N2,RAJSURAT BOX CULVERT,A,11,24.4166389,91.5661111,20611.7,0.0,0.6790976422989233,0.0,0.4753683496092463,188
2000578,N2,SHUKCHAR,A,2,24.41938386425532,91.56687635787236,20611.3,0.0,0.6790844634220272,0.0,0.475359124395419,189
2000568,N2,PUTA JURI BOX CULVERT,C,2,24.4060972,91.5648889,20610.8,0.0,0.679067989825907,0.0,0.4753475928781349,190
2000572,N2,PUTA JURI SCHOOL,A,3,24.4076111,91.5649167,20610.8,0.0,0.679067989825907,0.0,0.4753475928781349,191
